Region_name,SIC07_description,slope_ols,se_ols,slope_median,slope_sd,se_combined
Yorkshire and The Humber,Manufacture of other transport equipment,-0.06352511208551671,0.013785012522574426,-0.06137314675750694,0.014857720627857942,0.020267669636714752
Yorkshire and The Humber,Manufacture of furniture,0.048663018564276246,0.006446899388547091,0.04842156400530437,0.007498381879173228,0.009888793785490842
Yorkshire and The Humber,Other manufacturing,-0.013280891303151347,0.007152517443914708,-0.011026635464403108,0.01711736146082207,0.01855161904432982
Yorkshire and The Humber,Repair and installation of machinery and equipment,0.03150884849792073,0.007587994290558994,0.03204885360597127,0.006498834448667634,0.009990620928888506
Yorkshire and The Humber,Water supply,-0.02208914678320794,0.014498159171508039,-0.022090496715432957,1.6648127412943636e-4,0.014499114985992021
Yorkshire and The Humber,Sewerage activities,-0.017962345931535832,0.022744490124074666,-0.023492679446851863,0.017571569385358494,0.02874146624075741
Yorkshire and The Humber,"Waste collection, treatment and disposal activities",0.0785723355561526,0.009071494986652386,0.07919797259657405,0.012926733216683209,0.0157921642895507
Yorkshire and The Humber,Remediation and other waste management services,0.07458625854586676,0.024596554632348264,0.0739621944340991,0.012246796712085858,0.02747679984076111
Yorkshire and The Humber,Construction of buildings,0.03179355126721419,0.009632654384678392,0.031961217446696166,0.015635602728151732,0.01836464274542932
Yorkshire and The Humber,Civil engineering,0.009585005334531337,0.007141719471618796,0.01030148580995971,0.008464465806624969,0.011074806472477177
Yorkshire and The Humber,Specialised construction activities,0.00877715778055952,0.006262702101558895,0.008320324779127778,0.0067543144647885965,0.009210982656705129
Yorkshire and The Humber,Motor trades,-0.0017529567158401245,0.011267439991136044,-0.0017110721776806693,0.006736640803497357,0.013127739076824971
Yorkshire and The Humber,Wholesale trade,0.0071954518393500784,0.005980906785633964,0.006936947705869815,0.004670816364868945,0.0075886607179903596
Yorkshire and The Humber,Retail trade,0.0033907410884146767,0.004812284631973829,0.003247739461660854,0.0031483913606205776,0.005750691396585439
Yorkshire and The Humber,Land transport,-0.020518095197263504,0.007405689869755188,-0.020522868185750637,0.0054466993732498825,0.009192974301582448
Yorkshire and The Humber,Water transport,-0.10705108608836174,0.0245253790010676,-0.10509420071319561,0.013528801662944368,0.028009332187349523
Yorkshire and The Humber,Air transport,-0.05271271075558151,0.09261754421618311,-0.05098159248703395,0.010469695094876712,0.09320742466143092
Yorkshire and The Humber,Warehousing and transport support activities,0.0040272928424244445,0.00359988907158419,0.004427495983554028,0.004424278479110322,0.005703809375183398
Yorkshire and The Humber,Postal and courier activities,-0.03105498163213233,0.00839951400806685,-0.030663617730767034,0.0060853689453492085,0.010372249070126101
Yorkshire and The Humber,Accommodation,-0.022491008068906942,0.02040991965113473,-0.023032187656981146,0.0069948621182029476,0.02157528484675107
